               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.057166,            0.061404,                   0,             0.61496,             0.62903,             0.60235,             0.23198,            0.050685,            0.017344,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.060387,            0.061496,                   0,             0.64415,             0.64516,             0.65576,             0.24253,            0.050512,            0.015011,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.059199,            0.063506,                   0,              0.5993,             0.53226,             0.54723,             0.22249,            0.051588,            0.014969,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.060357,            0.071301,                   0,             0.48734,             0.58065,              0.5351,             0.19249,            0.050345,            0.017334,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.05911,            0.069614,                   0,             0.68101,             0.56452,             0.59372,             0.20492,            0.051386,            0.015596,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.059414,            0.068814,                   0,             0.71957,             0.57943,              0.6354,             0.25368,            0.049633,            0.013817,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.057838,            0.068717,                   0,             0.76673,             0.56452,             0.65628,             0.25162,            0.050758,            0.013769,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.057881,            0.058527,                   0,             0.81337,             0.56241,             0.66687,             0.24531,            0.050895,             0.01606,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.059747,            0.062889,                   0,             0.65429,             0.56452,             0.63698,             0.17425,            0.050613,            0.016228,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.056434,            0.061675,                   0,             0.65929,             0.70968,             0.64579,             0.23394,            0.050005,             0.01516,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.057362,            0.062235,                   0,             0.67858,             0.71514,             0.74982,             0.26567,            0.048874,            0.014324,                   0,           0.0076735,           0.0076735,           0.0076735
